Name,VDW,HB,HP,HM,HS,RT,x-score,q,C,N,O,H,F,P,S,Cl,Br,I,1,2,3,am,ar,his,arg,lys,ile,phe,leu,trp,ala,met,pro,val,cys,asn,gly,ser,gln,tyr,thr,asp,glu,hoh,phis,parg,plys,pile,pphe,pleu,ptrp,pala,pmet,ppro,pval,pcys,pasn,pgly,pser,pgln,ptyr,pthr,pasp,pglu,exp
4cc5,304,0.8,10,0.66,57,0,4.91,0,6,5,0,4,0,0,0,1,0,0,9,2,0,0,6,0,3,2,5,2,4,1,3,2,1,2,1,1,2,2,2,1,0,1,2,26,5,18,21,15,12,30,2,17,5,12,19,1,21,16,19,12,14,14,26,29,4.42
4fk6,623.7,3.2,59.3,0.79,137,3,6.4,0,17,5,2,21,0,0,1,0,0,0,39,4,0,1,6,0,2,7,2,2,7,0,3,1,1,6,0,1,4,2,0,2,0,3,6,11,7,13,27,15,12,30,3,10,7,14,17,8,13,18,14,11,11,14,17,24,9.7
1afk,474.5,7.5,0,0,0,6,5.42,-4,10,5,13,11,0,3,0,0,0,0,29,1,0,0,14,2,2,4,1,2,1,0,5,1,1,5,3,3,1,0,2,1,3,1,2,16,4,4,10,3,3,2,0,12,4,4,9,8,10,3,15,7,6,10,5,5,6.62
3bkk,804.4,7.7,112.1,4.64,360.5,9,7.92,-1,28,2,6,29,0,0,0,0,0,0,43,2,0,2,20,5,3,3,2,6,0,2,5,1,2,5,0,3,3,5,3,5,1,4,6,33,20,26,30,25,25,61,19,44,17,33,28,7,25,31,32,36,26,32,30,39,6.08
4qpd,628.3,5.4,32.8,1.33,114.1,6,6.3,0,19,7,6,23,0,0,0,0,0,0,39,3,0,2,13,2,2,1,6,3,3,1,3,1,2,1,2,0,3,3,3,2,1,4,2,20,8,11,26,23,15,23,6,20,6,19,23,3,15,30,14,11,7,9,18,21,7.82
4jzi,719.8,3.6,62.6,3.37,191.7,5,7.06,3,26,7,3,32,0,0,0,0,0,0,47,1,0,1,22,2,0,1,3,4,2,2,4,0,1,8,4,0,6,4,4,4,1,7,0,5,7,13,6,14,10,19,8,16,3,14,16,7,6,28,17,14,6,12,15,10,7.4
5hi7,874.6,7,12.5,0,27.6,10,6.73,2,19,8,5,34,0,0,0,0,0,0,59,1,0,0,8,1,2,3,3,3,8,0,1,0,1,1,6,5,3,6,1,4,3,2,3,22,9,28,30,19,18,50,4,25,15,19,25,23,14,21,24,20,11,13,24,34,7.85
4nyf,486.8,2.6,79.8,5.12,334,2,6.77,-1,22,1,3,21,0,0,0,1,0,0,31,0,0,0,19,1,1,3,0,1,3,1,7,1,0,3,1,0,2,1,3,1,4,2,2,15,5,4,12,15,3,8,3,15,2,5,13,2,5,15,8,9,4,10,7,10,7.31
5cst,532.1,5.7,7.5,0,23,5,5.65,-2,9,3,11,12,0,2,0,0,0,0,28,3,0,2,5,0,3,0,3,2,6,1,4,1,0,2,0,4,3,3,2,3,1,1,4,18,3,13,9,17,8,28,1,23,3,11,17,0,16,14,21,11,13,19,10,9,6.96
5jxn,574.8,5,78.7,4.03,292.7,11,6.37,-1,20,3,5,33,0,1,0,0,0,0,49,2,0,3,8,3,1,0,1,2,3,1,2,0,0,5,0,5,4,4,1,4,1,4,3,24,8,10,11,18,10,16,3,28,2,8,22,0,20,36,26,14,28,25,24,7,6.41
4ly1,718.1,3.5,123.9,2.78,258.1,0,7.65,0,19,3,2,17,0,0,1,0,0,0,26,4,0,2,12,5,1,1,4,4,2,2,3,1,4,1,4,0,10,3,1,5,0,7,1,10,13,17,24,19,17,29,2,18,15,16,22,9,18,33,16,12,28,16,22,22,7.26
1ydb,318.1,3.2,18.9,0.52,68.2,1,5.09,0,4,4,3,6,0,0,2,0,0,0,11,5,0,3,0,6,1,0,1,4,6,5,2,0,3,4,0,3,2,2,1,1,2,0,2,5,10,7,23,9,13,25,7,13,1,17,17,1,10,22,17,11,8,12,19,13,8.24
4r4i,572.2,4.3,93.3,6.05,281.8,2,7.33,-2,31,3,5,17,0,0,1,2,0,0,35,6,0,1,22,0,6,1,3,1,6,0,1,3,3,3,0,2,1,2,1,1,4,1,0,17,2,7,5,11,2,14,0,6,5,7,11,2,9,9,8,6,2,6,3,7,6.27
4gfo,443.8,0.5,52,1.76,220.5,0,5.93,0,12,2,2,8,0,0,0,2,0,0,16,4,0,1,6,2,2,5,2,2,8,0,3,1,1,6,0,2,6,2,0,1,0,4,2,6,13,16,17,13,10,35,4,13,5,13,16,9,6,17,11,9,18,12,13,22,6.62
4cga,571.2,0,159.7,4.06,206.8,5,6.59,1,22,2,0,25,0,0,0,0,0,0,36,3,0,0,12,1,2,0,1,4,1,3,1,0,1,0,1,3,3,5,2,7,1,3,4,16,8,23,24,19,24,44,6,18,11,17,10,5,13,18,25,12,17,11,13,36,6.4
4ago,561.4,0.9,49.1,5.37,225.6,7,6.32,2,24,3,3,38,0,0,0,0,0,1,61,1,1,1,6,0,3,0,1,1,2,1,0,0,6,2,2,0,2,2,1,1,4,2,1,31,7,18,6,6,5,15,1,8,5,14,14,11,7,13,17,7,8,14,9,11,4.81
4pmm,903.9,3.5,136.6,3.32,314.4,4,8.25,0,27,8,2,24,0,0,0,0,0,0,45,8,0,1,12,3,4,3,3,6,9,1,4,4,0,7,1,1,7,1,0,3,0,4,2,11,15,23,11,12,12,32,6,22,9,12,22,7,4,24,10,15,9,10,13,17,7.57
5n84,535.2,2.7,102.9,3.84,271.8,3,6.71,0,20,5,1,23,0,0,0,0,0,0,40,5,0,1,6,0,1,4,9,3,5,0,3,2,0,3,1,4,3,2,2,4,0,2,2,6,8,6,25,30,5,22,4,9,8,12,13,4,13,11,17,18,15,6,17,13,7.96
3ctt,402.7,5.5,0,0,0,1,5.39,1,8,1,5,16,0,0,0,0,0,0,31,0,0,0,0,2,4,0,3,2,2,3,2,2,1,2,0,3,2,3,1,3,2,7,2,9,23,38,30,36,47,78,21,48,13,50,60,13,63,59,56,34,39,56,52,46,6.35
1q8w,472,1.5,69,1.94,107.7,1,5.97,1,14,3,2,18,0,0,1,0,0,0,26,2,0,1,11,0,2,3,1,3,6,0,1,5,2,5,0,2,5,0,1,4,4,3,4,5,9,15,32,22,26,32,6,21,7,14,20,2,16,20,14,13,15,15,19,25,5.24
5f2u,1063.8,6.6,237.4,7.32,507.7,24,8.55,1,35,5,10,66,0,0,1,0,0,0,108,5,0,4,0,1,5,6,4,5,11,3,6,3,3,6,1,1,1,4,2,2,1,1,8,7,1,9,11,7,11,14,4,8,4,5,11,2,6,7,11,6,2,8,6,16,8.43
1jao,550.3,3.4,59.7,1.2,232.2,7,5.97,0,15,3,3,21,0,0,1,0,0,0,31,3,0,3,6,5,1,0,1,4,4,1,7,1,2,1,0,4,1,0,0,3,0,2,2,14,6,7,2,11,9,11,3,17,1,9,3,0,11,13,11,7,8,8,11,10,5.92
3qxv,747.6,3.3,47.2,2,82,6,6.7,-2,20,8,5,20,0,0,0,0,0,0,32,1,0,1,21,0,4,0,1,0,2,3,6,1,0,3,2,1,2,7,1,3,0,5,1,3,0,10,4,2,3,8,4,12,2,3,10,2,2,13,15,6,7,7,8,5,8.4
5dgw,918.9,2.5,119.9,5.4,328.3,13,7.73,1,31,3,8,46,0,0,1,0,0,0,75,3,0,2,12,0,2,1,5,1,3,0,1,1,1,3,0,2,6,0,0,0,3,3,0,23,1,4,7,15,2,10,2,5,2,6,6,0,3,13,1,5,1,8,4,4,11.05
2pu1,286.6,10.6,0,0,0,1,5.31,-1,2,1,5,3,1,1,0,0,0,0,7,1,0,1,3,2,3,3,0,0,1,0,2,2,1,1,1,2,5,4,2,0,1,5,6,21,8,18,33,27,12,35,4,42,10,19,27,10,16,41,25,13,12,24,20,36,5.85
1b5i,737.2,8.3,54.6,1.07,137.7,13,6.44,2,16,6,5,34,0,0,0,0,0,0,52,3,0,3,2,3,4,1,1,2,4,2,3,1,3,3,2,8,3,7,1,11,3,2,4,28,11,17,43,23,16,44,13,40,3,31,44,2,36,22,28,18,28,30,39,29,7.05
3a9i,289.7,3.2,12.2,0,59,5,4.55,1,6,2,2,15,0,0,0,0,0,0,22,0,0,0,2,3,4,0,5,3,3,0,2,0,0,2,0,1,5,2,1,3,3,4,5,14,10,24,16,25,11,28,2,36,5,15,32,2,7,24,9,10,15,21,17,38,4.15
6b7a,296.5,3.7,52.1,1.28,158.6,0,5.45,0,8,2,1,8,0,0,0,0,0,0,13,1,0,0,6,3,4,1,1,2,6,0,6,3,1,2,0,2,1,4,1,1,1,1,1,15,9,8,6,8,9,15,1,19,8,7,14,0,6,6,9,8,2,8,6,10,4.49
3m35,684.4,2.1,88.6,2.28,225.1,2,7.03,1,25,4,3,21,4,0,1,0,0,0,37,5,0,1,18,1,0,3,4,0,2,1,2,1,1,3,3,4,10,7,3,4,3,3,0,13,3,2,14,15,3,14,4,14,2,8,17,12,16,25,34,10,10,10,6,4,7.22
2w26,710,1.2,58.7,2.01,215.9,2,6.94,0,19,3,5,18,0,0,1,1,0,0,36,5,0,3,6,2,2,2,5,3,1,1,3,1,0,4,3,0,8,4,2,3,4,4,3,9,6,14,18,13,13,15,4,13,5,6,16,12,8,23,12,10,8,20,14,21,9.4
5u12,472,3.7,28.8,1.01,110.2,3,5.73,0,12,5,1,10,1,0,1,0,0,0,20,4,0,2,6,2,5,2,3,2,3,0,1,5,2,1,1,2,6,5,0,0,1,4,1,13,10,13,13,19,8,26,1,30,10,11,24,3,12,19,19,9,4,9,9,24,5.07
4io5,196.5,6.9,8.4,0.53,71.2,1,4.86,0,3,1,2,7,0,0,0,0,0,0,10,0,0,0,2,0,3,0,4,4,1,0,1,2,0,3,0,1,5,4,0,1,6,3,1,19,0,13,14,25,8,25,2,14,6,7,15,2,14,21,15,3,12,18,19,10,5.03
2q38,309.2,1.1,44.1,1.35,96.3,0,5.2,0,7,1,3,5,0,0,1,0,0,0,7,3,0,2,6,6,1,0,1,3,7,5,2,0,3,4,1,3,2,2,1,1,2,0,2,12,11,7,23,9,12,26,7,13,1,17,17,1,10,22,17,11,8,12,19,13,5.23
2wzf,610.7,9.3,8.6,0.14,27.5,5,6.26,-2,9,2,12,11,0,2,0,0,0,0,26,3,0,3,5,0,2,3,5,3,8,2,3,1,3,2,1,5,1,6,1,2,2,5,2,17,14,23,40,39,27,52,5,36,10,26,22,5,24,26,38,22,18,22,35,31,7
1qbs,921.4,3.9,184.4,7.84,324.4,10,8.6,0,35,2,5,38,0,0,0,0,0,0,57,1,0,2,24,0,2,1,5,1,3,0,1,0,2,3,0,2,6,0,0,0,3,3,0,0,1,4,6,12,2,12,2,4,2,6,7,0,3,13,1,6,1,8,4,4,9.47
2dri,333,10.1,0,0,0,0,5.55,0,5,0,5,10,0,0,0,0,0,0,20,0,0,0,0,1,3,0,3,4,3,0,4,1,3,0,0,6,2,3,3,0,4,5,1,11,3,6,24,13,7,25,0,37,4,9,29,0,16,24,9,17,3,13,21,11,6.89
1ql9,751.4,0,74.5,2.05,238.1,2,7.09,0,25,4,3,27,0,0,1,1,0,0,43,3,0,2,17,1,1,1,4,1,3,1,1,1,1,7,3,3,10,3,1,4,3,4,1,11,4,4,8,13,4,18,4,15,2,12,20,12,18,23,17,11,9,8,12,9,5.35
1njd,443.9,7.5,5.9,0.14,30,3,5.62,-1,9,2,8,11,0,1,0,0,0,0,23,3,0,3,3,4,4,1,5,4,4,3,4,0,3,1,1,0,1,3,2,4,2,4,1,9,19,12,20,15,19,35,7,20,6,19,16,2,7,18,13,13,14,16,30,15,5.57
3fx6,429.9,6,47.3,1.64,143.1,6,5.67,0,12,1,6,14,0,0,0,0,0,0,23,2,0,0,8,2,3,1,6,3,4,1,2,0,1,0,0,1,4,6,1,5,3,2,3,13,8,11,15,21,16,23,7,20,3,10,16,2,13,23,32,12,19,26,16,14,6.8
2qi7,791.8,2.5,122.7,5.4,393,14,7.24,0,28,2,6,40,0,0,1,0,0,0,60,4,0,2,12,0,2,1,5,1,4,0,1,1,2,3,0,2,6,0,0,0,3,3,0,28,1,4,7,13,2,11,2,3,2,7,6,2,4,13,0,5,1,8,4,4,10.21
2p53,492.4,9.2,0,0,0,3,5.86,-3,7,1,10,14,0,2,0,0,0,0,28,0,0,1,5,5,1,3,2,2,6,0,3,1,1,4,1,5,6,3,2,2,9,2,2,20,9,14,20,26,12,39,1,43,8,16,30,8,23,34,12,9,10,27,17,24,7.46
3imc,361.9,0.9,29.4,0.34,104.1,1,5.15,0,9,1,1,9,0,0,0,0,0,0,14,1,0,0,6,2,2,1,0,2,4,0,4,2,2,4,0,2,4,2,1,1,2,1,2,20,5,22,3,9,9,36,0,48,6,20,31,0,6,26,8,9,6,16,19,10,2.96
5g45,317.8,2.5,71.6,1.64,103.2,0,5.47,0,9,2,1,8,0,0,0,0,0,0,10,0,0,0,11,2,2,1,2,5,7,0,1,2,0,3,2,1,3,4,0,2,1,1,1,13,13,17,12,11,13,33,2,17,6,6,15,8,6,10,18,15,8,7,5,22,3.3
4b6r,599.4,6.7,69.5,1.64,113.5,4,6.59,-1,15,0,7,17,0,0,0,0,0,0,31,1,0,0,8,3,4,1,5,3,6,0,4,3,3,2,0,5,6,2,3,2,2,2,2,14,4,4,7,17,8,12,0,13,10,5,9,1,10,15,5,9,4,6,6,12,5.85
3qbc,312.3,3.5,2.2,0.42,25.4,0,5.05,1,5,5,1,6,0,0,1,0,0,0,12,3,0,1,3,0,1,0,0,2,5,0,2,0,2,4,0,3,3,2,1,2,3,2,1,17,3,9,9,13,3,21,1,6,3,9,13,4,9,7,9,5,6,7,10,13,4.97
4ipi,228.1,4.9,7.4,0,36.4,3,4.56,-2,4,0,5,4,0,0,0,0,0,0,8,0,0,0,4,4,1,2,7,2,2,0,1,2,1,0,3,1,4,4,1,2,5,2,3,14,8,12,27,32,12,25,1,32,10,15,19,7,20,31,20,6,11,13,22,29,5.32
4tkj,453,2.5,138.4,4.68,353.2,13,5.86,-1,16,0,2,29,0,0,0,0,0,0,43,1,0,0,2,1,4,4,0,2,6,0,2,1,1,2,1,1,1,3,1,2,10,3,2,24,3,4,14,7,6,14,2,6,3,1,10,1,3,10,6,3,2,19,11,8,6.04
4ua8,777.2,9,0,0,0,7,6.66,0,18,0,16,32,0,0,0,0,0,0,68,0,0,0,0,1,1,3,0,2,2,4,4,2,3,0,0,8,5,7,3,4,3,6,3,51,1,2,30,14,20,23,5,53,8,13,25,5,29,31,20,11,15,22,36,20,6.26
5ko1,609.9,1.9,57.5,1.64,196.2,3,6.42,0,19,4,3,15,1,0,0,0,0,0,23,2,0,1,18,1,3,4,2,3,8,0,2,2,0,5,1,2,2,3,0,2,3,0,6,13,5,17,23,21,11,28,2,12,3,12,18,5,5,15,19,12,9,11,11,26,6.64
4bf6,366.5,2.4,42.5,2.04,93.4,1,5.52,0,13,5,2,9,0,0,2,0,0,0,19,6,1,1,6,5,1,1,1,3,7,3,2,0,3,4,1,3,2,2,1,1,2,2,2,16,11,7,24,9,12,26,7,13,1,17,17,1,10,22,17,11,8,12,19,13,8.35
2pow,400.3,3.3,22.4,0.63,27.5,2,5.32,0,7,3,4,8,3,0,2,0,0,0,15,4,0,2,6,7,1,0,1,4,8,5,2,0,3,4,1,3,3,2,1,1,3,0,3,16,11,7,24,9,12,26,7,13,1,17,17,1,10,22,17,11,8,12,19,13,7.2
1avn,101.1,0.3,0.6,0,8.5,2,3.72,1,5,3,0,10,0,0,0,0,0,0,16,2,0,0,0,3,0,1,1,3,2,1,1,0,2,2,0,2,1,0,1,0,1,0,1,12,11,7,24,9,12,26,7,13,1,17,17,1,10,22,17,11,8,12,19,13,3.9
1tkb,680.4,6,89.9,1.76,216.4,7,6.83,-1,13,3,7,17,0,2,1,0,0,0,31,2,0,0,11,7,1,1,5,3,5,0,3,1,4,2,1,4,12,4,2,2,7,6,2,0,17,22,43,36,28,63,9,68,10,38,42,2,31,58,57,23,26,36,34,35,8
4fnn,350.9,0.5,58.9,3.75,278.4,16,4.6,-1,18,0,2,35,0,0,0,0,0,0,52,0,0,0,2,1,5,0,1,0,4,1,3,0,3,1,2,2,3,3,1,2,1,1,1,10,6,16,2,8,2,12,5,16,2,12,13,6,9,16,11,7,8,6,6,8,7.57
3gkz,377.8,2,131.3,2.51,207,3,5.85,1,10,1,0,16,0,0,0,0,0,0,21,0,0,0,6,2,0,0,3,4,2,5,0,2,0,0,0,0,2,7,1,10,1,1,1,8,2,6,10,9,7,15,6,11,4,10,12,4,4,20,49,12,17,19,8,8,8
1qb9,671,3.3,65.1,3.67,225.6,4,7.02,1,31,5,1,32,0,0,0,0,0,0,48,1,0,0,25,1,0,2,4,0,2,1,2,1,2,3,3,4,9,6,3,3,2,3,0,13,3,2,14,15,3,14,4,14,2,8,17,12,16,25,34,10,10,10,6,4,7.44
5n1r,409.4,2.4,75.1,3.38,133.9,3,5.86,0,16,3,2,15,0,0,1,0,0,0,22,4,0,1,12,6,1,1,1,3,7,2,3,0,3,4,1,3,2,2,2,1,2,1,2,18,12,7,24,9,12,26,7,13,1,17,17,1,10,22,17,11,8,12,19,13,7.95
3d52,478.5,5.5,14,2.01,60.4,3,5.91,0,13,3,6,16,0,0,0,1,0,0,31,2,0,1,6,3,3,1,2,2,3,2,2,1,2,0,0,1,4,1,1,6,2,9,1,40,44,55,51,40,44,100,21,52,28,58,72,11,39,61,73,57,38,57,63,52,3.28
5tb6,353.7,1,74.2,2.52,201.6,1,5.67,0,15,3,1,17,0,0,0,0,0,0,28,3,0,1,6,0,3,0,1,3,6,1,1,2,4,3,1,2,0,2,1,3,0,2,1,26,0,7,9,5,6,13,3,4,5,10,7,1,4,3,6,9,6,4,9,8,5.82
3d8w,349.9,2.7,45.8,1.94,96.7,2,5.4,0,8,4,4,8,0,0,3,0,0,0,14,6,0,2,6,6,1,0,1,3,8,5,2,0,3,4,1,3,2,2,1,1,2,0,3,12,11,7,24,9,12,26,7,13,1,17,17,1,10,22,17,11,8,12,19,13,8.15
5a6k,425.4,3.7,33.3,0.78,108.1,1,5.69,1,8,1,4,16,0,0,1,0,0,0,31,0,0,0,0,1,1,2,1,0,0,5,1,3,0,1,0,3,3,2,1,5,2,5,2,26,18,30,29,40,27,67,9,54,14,15,38,6,22,34,30,39,30,31,44,49,5.95
4dju,393.8,2.5,99.1,3.96,194.6,2,6.11,1,16,3,1,16,0,0,0,0,0,0,21,1,0,1,15,0,2,2,5,2,3,2,3,0,1,4,0,1,7,5,2,2,5,3,0,21,7,17,15,24,20,29,7,24,8,19,34,6,15,34,30,16,19,23,21,22,5.44
4ngm,832.1,8.7,74.9,2.59,254.5,12,7.34,-3,21,3,8,25,0,0,0,0,1,0,41,2,0,3,12,2,6,6,3,5,4,2,3,0,0,1,0,7,9,5,1,7,0,6,4,43,15,32,44,37,40,53,10,47,14,44,46,3,35,56,54,20,39,26,35,46,10.35
1ecq,371,6.9,3.1,0,18.7,5,5.08,-2,6,0,7,8,0,0,0,0,0,0,16,0,0,0,4,3,2,2,0,3,3,1,2,2,1,1,0,5,4,3,1,1,3,7,1,11,15,22,19,22,18,39,8,40,17,21,30,4,15,44,18,21,10,28,25,28,3
1drj,331.1,9.2,0,0,0,0,5.47,0,5,0,5,10,0,0,0,0,0,0,20,0,0,0,0,0,3,0,3,4,3,0,4,1,3,1,0,6,2,3,3,0,4,5,1,8,3,7,24,13,7,25,0,37,4,9,29,0,16,23,9,17,3,13,21,11,7.4
1o7o,615.8,10.1,12.3,0.14,24.4,5,6.35,-2,9,2,12,11,0,2,0,0,0,0,26,3,0,3,5,2,4,2,3,2,1,3,3,4,1,5,1,2,1,1,5,4,2,5,2,29,10,10,26,18,18,20,9,15,9,13,24,3,12,14,10,12,15,14,17,18,4.49
4bqg,423.6,1,92.5,3.01,221.9,2,6.01,0,12,0,3,8,0,0,0,2,0,0,14,0,0,0,12,0,0,3,8,4,6,1,4,3,0,6,0,2,6,5,0,2,5,3,2,17,4,7,16,20,10,18,1,14,5,4,10,0,8,15,15,8,7,17,12,18,6.22
5btx,380.3,4.4,0,0,0,1,5.22,-1,10,5,6,11,0,1,0,0,0,0,27,1,0,0,8,1,0,0,3,3,0,0,2,0,3,0,2,4,3,2,0,2,1,0,0,10,5,0,15,11,10,11,1,4,1,9,10,2,11,11,10,1,2,6,1,11,3.55
4g90,426.7,3,0,0,0,4,5.05,0,12,5,6,16,1,0,0,0,0,0,36,4,0,2,0,2,3,4,3,3,1,0,3,1,1,5,1,2,0,1,1,0,2,2,1,27,4,4,10,3,3,2,0,12,4,4,9,8,10,3,15,7,6,10,5,5,4.51
2a4m,328.3,0,41.9,1.01,124.8,3,4.93,0,11,2,2,12,0,0,0,0,0,0,19,1,0,0,8,1,3,0,1,3,5,0,6,1,3,5,0,0,1,1,4,2,3,4,1,17,7,29,10,6,12,39,0,41,5,21,35,1,8,26,9,18,8,16,23,17,4.52
2pym,886.3,2.5,140.4,5.77,468.3,7,8.39,1,32,3,4,46,0,0,1,0,0,0,73,2,0,2,12,0,2,1,5,1,5,0,1,1,3,3,0,2,6,0,0,0,3,3,1,23,1,3,6,13,2,12,2,4,2,6,6,2,3,13,1,6,1,8,4,4,6.82
4rd0,588.2,9,0,0,0,5,6.07,-2,10,5,11,13,0,2,0,0,0,0,31,3,0,1,8,4,1,3,2,0,2,1,6,1,1,9,0,2,4,2,2,0,4,2,2,25,6,18,33,41,11,34,7,25,8,21,41,4,14,34,26,14,8,22,15,32,6.62
5x54,775.1,7,97.3,3.31,238.4,13,7.04,-2,40,7,8,39,0,0,0,0,0,0,66,7,0,4,22,1,8,0,2,3,6,0,3,0,0,2,0,4,12,5,3,3,1,3,0,21,9,22,1,11,4,21,6,19,7,12,26,8,15,35,19,6,17,18,16,13,5
1fv0,583.9,1,50.9,2.53,80.4,1,6.36,0,17,1,8,10,0,0,0,0,0,0,19,2,0,0,18,1,1,3,2,3,4,1,3,0,2,1,6,0,5,4,0,4,1,3,0,15,1,5,13,5,4,9,1,6,2,5,3,14,6,11,7,1,9,5,7,7,5.93
4o3f,594.4,0.1,29.9,1.69,48.1,3,5.95,0,19,5,4,25,0,0,0,0,0,0,43,1,0,1,11,0,0,2,0,5,2,3,3,2,2,3,1,0,10,1,0,2,3,5,1,14,5,11,40,18,15,38,3,40,14,16,39,5,23,41,24,6,5,17,24,25,5.56
4q8x,250.4,1,24.9,0.29,42.5,0,4.69,1,6,1,1,3,3,0,1,0,0,0,11,4,0,0,0,5,1,0,1,2,6,3,1,0,2,4,1,2,0,2,1,1,2,0,2,10,11,7,24,9,12,26,7,13,1,17,17,1,10,22,17,11,8,12,19,13,3.57
3nox,522.7,2.8,54.1,2.34,198,1,6.39,1,19,5,2,20,0,0,0,2,0,0,39,5,0,1,6,2,3,1,1,1,1,4,2,0,2,8,0,1,5,4,1,8,1,3,3,12,19,30,37,47,31,55,20,35,14,27,44,12,39,40,63,30,56,45,43,40,8.66
4asj,617.3,1.3,81.2,3.67,203.3,4,6.67,0,18,4,4,18,0,0,1,0,0,0,26,5,0,4,12,2,2,3,2,2,9,0,4,1,2,2,1,1,4,1,2,8,1,1,4,9,5,14,13,17,8,40,3,25,3,15,14,1,7,28,16,18,17,13,17,18,7.55
3t2q,359.7,4.4,0,0,0,1,5.14,0,6,0,6,10,0,0,0,0,0,0,21,1,0,0,0,4,2,1,0,1,0,2,1,5,0,1,2,4,1,2,3,2,1,5,6,13,37,69,23,38,41,101,42,82,22,65,70,19,47,74,70,67,37,54,64,65,3.66
1e6q,387.5,6.4,0,0,0,1,5.4,1,6,4,4,11,0,0,0,0,0,0,24,2,0,0,0,1,3,1,3,5,0,3,3,0,0,1,0,5,1,5,2,4,4,1,3,27,12,18,26,32,27,36,10,22,8,26,20,8,31,42,38,15,37,33,38,20,3.15
4m2u,394.6,2.6,32.2,1.68,159,3,5.5,1,10,2,4,17,0,0,3,0,0,0,30,6,0,1,0,6,1,0,1,3,7,5,3,0,3,4,1,3,4,2,1,1,2,0,3,8,11,7,24,9,12,26,7,13,1,17,17,1,10,22,17,11,8,12,19,13,8.04
2bmk,453.1,4.4,39.2,1.39,98.1,6,5.52,-2,11,2,7,15,0,1,0,0,0,0,25,0,0,0,11,1,2,0,0,3,0,2,2,1,0,1,0,3,1,3,2,4,3,1,1,12,3,7,13,9,9,12,5,18,4,11,9,5,13,13,31,8,11,24,9,12,5.62
3sur,443.4,4.9,36.5,0.52,115.5,1,5.84,0,8,1,4,13,0,0,1,0,0,0,27,1,0,0,0,4,2,0,0,1,3,4,2,2,1,2,0,1,4,2,3,1,5,7,3,16,9,16,27,31,16,33,10,39,8,23,34,2,27,43,38,19,25,36,30,24,4.15
6b4l,614.6,0.9,213.5,4.97,293.2,5,7.23,-1,22,1,3,18,0,0,0,0,0,0,27,1,0,0,19,2,2,1,5,4,6,0,4,2,0,7,0,1,3,5,1,0,2,1,0,7,4,14,10,9,7,13,3,8,4,2,12,1,4,11,11,6,2,10,10,9,6.47
1sdu,1024.7,3.4,163.7,6.14,443.6,10,8.85,2,36,5,4,49,0,0,0,0,0,0,76,2,0,2,18,0,4,2,11,2,7,0,2,3,3,6,0,4,12,0,0,0,6,6,0,29,2,8,14,30,4,18,4,10,6,12,12,0,6,26,2,10,2,16,8,8,10.07
4qgi,1023.9,4.4,151.8,6.29,467,9,9.02,1,38,6,5,57,0,0,0,0,0,0,94,6,0,4,6,0,2,1,5,1,4,0,1,1,2,3,0,2,5,0,0,0,4,3,0,28,1,4,6,13,2,11,2,3,3,6,6,2,3,12,1,6,1,9,4,4,3.9
2uxi,399.3,1,78,2.28,172.6,3,5.63,0,15,0,5,14,0,0,0,0,0,0,22,1,0,0,12,5,4,2,3,2,14,0,6,2,1,4,2,2,2,2,0,0,2,3,2,10,7,19,8,9,5,29,3,25,4,4,13,4,5,10,6,8,3,10,16,18,7.3
4lvt,1116.7,0.6,173.7,7.15,372.3,10,9.07,2,47,5,6,57,3,0,3,1,0,0,96,6,0,2,24,0,7,1,1,7,4,3,4,2,1,6,0,1,5,2,1,3,2,4,5,19,5,13,2,5,9,11,5,8,5,3,12,1,6,10,7,4,7,6,9,11,10.36
5fol,622.4,6.5,27.4,1.06,143.7,6,6.35,1,16,7,4,26,0,0,0,0,0,0,46,2,0,1,6,0,2,4,6,1,2,1,2,3,3,3,1,1,3,6,2,4,6,3,5,24,2,9,23,28,9,29,2,12,8,15,13,6,5,19,17,10,17,12,15,23,3.67
4rww,796.8,9.3,0,0,0,2,7.17,-2,20,10,12,22,0,2,0,0,0,0,54,2,0,0,16,1,2,4,4,6,4,0,5,1,0,4,0,2,7,1,3,0,8,0,2,31,4,3,6,7,7,8,0,10,4,4,10,1,4,9,5,4,2,11,6,8,5.85
4ocq,384.6,6.7,17.7,0.27,82.7,2,5.53,0,8,1,6,15,0,0,0,0,0,0,28,1,0,1,0,2,4,1,3,5,2,0,1,1,0,0,1,4,2,0,1,1,3,5,2,26,10,17,12,21,22,32,2,34,10,12,19,2,13,25,19,10,11,31,26,27,4.61
4xk9,883.2,1.6,226.1,7.52,497.9,0,9.41,0,42,1,7,63,0,0,0,0,0,0,116,4,0,0,0,1,1,1,3,4,2,1,3,1,4,3,2,0,3,7,4,7,3,4,3,23,3,10,9,9,8,16,4,11,5,12,17,4,7,8,21,11,11,17,19,9,9.07
1upf,199.6,0.8,0,0,0,0,4.3,0,4,2,2,3,1,0,0,0,0,0,5,3,0,4,0,0,4,0,2,1,3,0,5,1,3,1,2,1,3,1,0,3,2,4,0,4,1,18,13,22,9,20,1,15,8,10,20,5,4,13,9,7,8,11,10,20,4.6
